序号,科目,资料层级,资料类型,规范文件名,目标路径,原文件名,来源路径,SHA256,大小MB
1,Web编程基础,原始资料,压缩包,Web编程基础_压缩包_Web综合大作业.zip,/Users/jerry/Desktop/期末复习/资料库/05_Web编程基础/02_原始资料/99_压缩包/Web编程基础_压缩包_Web综合大作业.zip,web综合大作业.zip,/Users/jerry/Downloads/复习/web综合大作业.zip,未计算（大小唯一）,0.00
2,Web编程基础,原始资料,压缩包,Web编程基础_压缩包_Web课件.zip,/Users/jerry/Desktop/期末复习/资料库/05_Web编程基础/02_原始资料/99_压缩包/Web编程基础_压缩包_Web课件.zip,web课件.zip,/Users/jerry/Downloads/复习/web课件.zip,未计算（大小唯一）,25.58
3,Web编程基础,原始资料,模拟卷,Web编程基础期末模拟卷A卷.docx,/Users/jerry/Desktop/期末复习/资料库/05_Web编程基础/02_原始资料/05_模拟卷/Web编程基础期末模拟卷A卷.docx,Web编程基础期末模拟卷A卷.docx,/Users/jerry/Downloads/大一下期末/Web编程基础期末模拟卷A卷.docx,未计算（大小唯一）,0.06
4,Web编程基础,原始资料,模拟卷,Web编程基础期末模拟卷B卷.docx,/Users/jerry/Desktop/期末复习/资料库/05_Web编程基础/02_原始资料/05_模拟卷/Web编程基础期末模拟卷B卷.docx,Web编程基础期末模拟卷B卷.docx,/Users/jerry/Downloads/大一下期末/Web编程基础期末模拟卷B卷.docx,未计算（大小唯一）,0.07
5,Web编程基础,原始资料,源文件,Web编程基础_考前复习知识点讲义.tex,/Users/jerry/Desktop/期末复习/资料库/05_Web编程基础/02_原始资料/90_源文件/Web编程基础_考前复习知识点讲义.tex,Web编程基础_考前复习知识点讲义.tex,/Users/jerry/Desktop/期末复习/Web编程基础/源文件/Web编程基础_考前复习知识点讲义.tex,未计算（大小唯一）,0.02
6,Web编程基础,原始资料,真题,Web编程基础B卷.pdf,/Users/jerry/Desktop/期末复习/资料库/05_Web编程基础/02_原始资料/01_样卷与真题/Web编程基础B卷.pdf,《Web编程基础》B卷_202506211228_23497(1).pdf,/Users/jerry/Downloads/复习/23年真题/《Web编程基础》B卷_202506211228_23497(1).pdf,未计算（大小唯一）,1.26
7,Web编程基础,原始资料,真题,Web编程基础_真题_Web-24真题.pdf,/Users/jerry/Desktop/期末复习/资料库/05_Web编程基础/02_原始资料/01_样卷与真题/Web编程基础_真题_Web-24真题.pdf,web-24真题.pdf,/Users/jerry/Downloads/大一下期末/web-24真题.pdf,a49e18baa8a670be366fd67d881a83739a348bb33851864bf0dacb0f0506b45c,0.26
8,Web编程基础,原始资料,网页源码,Web期末复习文档.html,/Users/jerry/Desktop/期末复习/资料库/05_Web编程基础/02_原始资料/08_网页与源码/Web期末复习文档.html,Web期末复习文档.html,/Users/jerry/Downloads/大一下期末/Web期末复习文档.html,884d4e48660d75f2cc898b4f438484c658ddffe9521e5abf3ee0080a4b31fde4,0.16
9,Web编程基础,原始资料,网页源码,Web编程基础_网页源码_JS期末复习文档.html,/Users/jerry/Desktop/期末复习/资料库/05_Web编程基础/02_原始资料/08_网页与源码/Web编程基础_网页源码_JS期末复习文档.html,JS期末复习文档.html,/Users/jerry/Downloads/大一下期末/JS期末复习文档.html,未计算（大小唯一）,0.42
10,Web编程基础,原始资料,题库练习,Web编程基础_题库练习_Web题.pdf,/Users/jerry/Desktop/期末复习/资料库/05_Web编程基础/02_原始资料/03_题库与练习/Web编程基础_题库练习_Web题.pdf,Web题.pdf,/Users/jerry/Downloads/复习/Web题.pdf,未计算（大小唯一）,0.48
